[2025-12-12--12-10-17 INFO actix_server::builder] starting 5 workers
[2025-12-12--12-10-17 INFO actix_server::server] Tokio runtime found; starting in existing Tokio runtime
[2025-12-12--12-10-17 INFO actix_server::server] starting service: "actix-web-service-127.0.0.1:18488", workers: 5, listening on: 127.0.0.1:18488
[2025-12-12--12-10-18 INFO parity_ws] Listening for new connections on 127.0.0.1:8900.
[2025-12-12--13-32-25 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/1365-d291a7c1ce2e0735.js HTTP/1.1" 200 7710 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" 0.001082
[2025-12-12--13-32-25 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/04c1a432-edb03f65b9f1a1ca.js HTTP/1.1" 200 2700 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" 0.002511
[2025-12-12--13-32-25 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/8298-3afc860dfe3c7887.js HTTP/1.1" 200 44395 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" 0.003849
[2025-12-12--13-32-25 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/b18b83b3-e1c480e403eefb06.js HTTP/1.1" 200 55445 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" 0.005218
[2025-12-12--13-32-25 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/8250-8d8b91de503069bf.js HTTP/1.1" 200 8463 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" 0.001897
[2025-12-12--13-32-25 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/app/layout-9fda25069afc2794.js HTTP/1.1" 200 12398 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" 0.002954
[2025-12-12--13-32-25 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/bd665b6f-d5ed9f4f3ae4ccb0.js HTTP/1.1" 200 14450 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" 0.004165
[2025-12-12--13-32-25 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/8370-021758b1cd213679.js HTTP/1.1" 200 88250 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" 0.012554
[2025-12-12--13-32-25 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/7502-be2cba2066a9cc51.js HTTP/1.1" 200 14925 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" 0.006792
[2025-12-12--13-32-25 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/app/page-6d6c8203edbba3a2.js HTTP/1.1" 200 10805 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" 0.001037
[2025-12-12--13-32-25 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/8122-1eab726b2f799df4.js HTTP/1.1" 200 16724 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" 0.002236
[2025-12-12--13-32-25 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/3102-1b33d54675a3156d.js HTTP/1.1" 200 80680 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" 0.009763
[2025-12-12--13-32-25 INFO actix_web::middleware::logger] 127.0.0.1 "GET /favicon.ico HTTP/1.1" 200 1748 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" 0.000067
[2025-12-12--13-32-26 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:58377.
[2025-12-12--13-32-26 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 166 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" 0.001649
[2025-12-12--13-32-26 INFO actix_web::middleware::logger] 127.0.0.1 "GET /favicon.ico HTTP/1.1" 200 1748 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" 0.000045
[2025-12-12--13-32-26 INFO actix_web::middleware::logger] 127.0.0.1 "GET /accounts.txt?_rsc=3lb4g HTTP/1.1" 200 1604 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" 0.000308
[2025-12-12--13-32-26 INFO actix_web::middleware::logger] 127.0.0.1 "GET /scenarios.txt?_rsc=3lb4g HTTP/1.1" 200 1604 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" 0.000343
[2025-12-12--13-32-26 INFO actix_web::middleware::logger] 127.0.0.1 "GET /config HTTP/1.1" 200 166 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" 0.000107
[2025-12-12--13-32-26 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/app/scenarios/page-09da1bd65aab980f.js HTTP/1.1" 200 8800 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" 0.001946
[2025-12-12--13-32-26 INFO actix_web::middleware::logger] 127.0.0.1 "GET /_next/static/chunks/app/accounts/page-95a0936c2ea0cc61.js HTTP/1.1" 200 9964 "http://127.0.0.1:18488/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36" 0.001895
[2025-12-12--13-34-31 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:58592.
[2025-12-12--13-35-24 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:58834.
[2025-12-12--13-36-01 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:59076.
[2025-12-12--13-39-50 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:59573.
[2025-12-12--13-41-56 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:59919.
[2025-12-12--14-00-03 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:61935.
[2025-12-12--14-00-38 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:62168.
[2025-12-12--14-02-42 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:62490.
[2025-12-12--17-06-42 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:61581.
[2025-12-12--17-10-29 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:62151.
[2025-12-12--17-38-24 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:64888.
[2025-12-12--17-39-14 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:65171.
[2025-12-12--17-42-04 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:49253.
[2025-12-12--18-22-21 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53075.
[2025-12-12--18-23-25 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:53439.
[2025-12-12--18-28-19 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54048.
[2025-12-12--18-36-04 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:54947.
